code,product_name,brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
4088600169873,Tropical Fruits Granola,Harvest Morn,en:United Kingdom,1kg,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with fruits, Mueslis, Mueslis with fruits",,c,c,4.0,"oat flakes (65%), sugar, coconut (3,5%), dried ban chips (3,5%) (banana, coconut oil, sugar, flavouring), sweetened dried papaya (3,5%) (papaya, sugar, preses sulphur dioxide), sweetened dried pineapple (3,5% (sugar, pineapple, acid: citric acid, preservative: sulphu dioxide), palm oil, honey, chopped almonds, sunflow seeds, flavouring, allergy advice: for allergens, including cereals contain gluten, see ingredients in bold,     may also contain other nut and other gluten sources, warning: although every effort has been made to remo shell, some small fragments may remain, to avoid danger of suffocation, keep this wrapper away from babies and small children, dietary advice: suitable for vegetarians, this pack contains approx,",431.0,13.0,4.4,65.3,19.1,6.8,10.0,0.03,0.012
5051140449377,Parmigiano Reggiano,Tesco,"United Kingdom,Ireland",200g,"Dairies, Fermented foods, Fermented milk products, Cheeses, Italian cheeses, Parmigiano-Reggiano",PDO,d,d,3.0,"Unpasteurised milk, Animal Rennet",402.0,29.7,19.6,0.0,0.0,0.0,32.4,1.63,0.652
3564706561885,Amandes grillees,"Marque Repère, Couleurs vives",France,250g,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Amandes,Fruits à coques décortiqués,en:almonds-shelled,en:almonds-roasted,Amandes grillées et non-salées","Nutriscore,Nutriscore A,Sans sel ajouté",a,d,1.0,_Amandes_ décortiquées,633.0,53.0,4.1,5.1,4.3,12.0,28.0,0.01,0.004
3487400004451,Ebly L'original,Ebly,France,500 g (4 x 125 g),"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Graines,Céréales et dérivés,Céréales en grains,Blés,Blés durs,Blé dur précuit entier","100% naturel,Sans colorants,Triman,Sans conservateur artificiel",b,a,1.0,Blé précuit à la vapeur,135.0,0.5,0.1,27.0,0.5,2.2,4.7,0.01,0.004
4056489194859,Véritable cassoulet de Castelnaudary,"Lidl, saveurs de nos régions",France,840 g,"plats-préparés, plats-préparés-à-la-viande, plats-à-base-de-haricots, cassoulets, fr:cassoulets-au-confit-de-canard, fr:plats-au-canard, en:plats-préparés, en:plats-préparés-à-la-viande, en:plats-à-base-de-haricots, en:plats-à-la-volaille, en:produits-à-la-viande",Triman,c,b,4.0,"Haricots lingots, Eau, manchons de canard confits, graisse de canard, sel, saucisses de Toulouse, viande de porc, poivre, boyaux naturels de porc, arômes naturels, épices et plantes aromatiques, concentré de tomate, ail.",151.0,7.6,2.6,10.0,0.0,0.0,11.0,0.82,0.328
8719979201593,All Natural Nut Bar,2KEEP,France,3 x 30 g,"Plant-based foods and beverages,Plant-based foods,Snacks,Sweet snacks,Nuts and their products,Bars,Nut bars","No gluten, Green Dot, en:halal",d,unknown,4.0,"Arachides (30%), amandes (20%), canneberge séchée [canneberge, sucre, huile de tournesol] (16,7%), sucre, glucose.",518.0,32.0,4.0,37.0,36.0,9.0,16.0,0.0,0.0
6111242106833,Ghilal,Jaouda,en:ma,440g,"Dairies, en:stirred-yogurts",en:no-gelatin,b,a,4.0,"Lait frais partiellement écrémé, sucre, préparation de fruits (avocat et amande), texturants: amidons, correcteur d'acidité: acide citrique, arômes, ferments lactiques sélectionnés, colorant naturel.",69.0,0.7,0.5,14.0,9.3,,1.5,0.0,0.0
3760278863857,Gianduja Noir Éclats de Noisettes,Ethiquable,France,100 g,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","Fair trade, Organic, EU Organic, Non-EU Agriculture, EU Agriculture, EU/non-EU Agriculture, IT-BIO-014, Small Producers' Symbol, AB Agriculture Biologique, fr:triman",e,c,4.0,"Sucre de canne°*, pâte de cacao* du Nicaragua 27%, purée de noisette 17%, éclat de noisette° 14%, beurre de cacao°*, émulsifiant: lécithine de soja°, extrait de vanille°*. Peut contenir des traces d'autres fruits à coque, lait et gluten.",586.0,44.0,14.0,37.0,32.0,4.0,9.2,0.03,0.012
0850000547568,MINI FRUIT BARS,That's it.,United States,480g,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Snacks,Sweet snacks,Confectioneries,Fruit paste variety packs","No gluten,No GMOs,No preservatives,Certified gluten-free,Non GMO project",c,b,3.0,"APPLES, STRAWBERRIES. 

APPLES, MANGOES. 

APPLES BLUEBERRIES",300.0,0.0,0.0,60.0,50.0,10.0,0.0,0.188,0.075
6111032007531,Jibi “Fraise pops”,,en:ma,,,,unknown,unknown,,"حليب نصف دسم, سكر, نكهة الفراولة, نكهة الفانيليا, ملح, مثبتات, فيتامين د3",66.0,1.5,1.0,10.0,5.0,,2.9,0.0,0.0
